idno,speech-encoded,author-short,title-short,year,country,source-edition,narrative-perspective,subgenre-theme,subgenre-current
nh0085,no,SierraOReillyJ,AnoHospital,1841,Mexico,modern,autodiegetic,novela psicológica,novela romántica
nh0086,no,LugonesL,Guerra,1905,Argentina,unknown,heterodiegetic,novela histórica,novela modernista
nh0087,no,CaneMI,Esther,1858,Argentina,first,heterodiegetic,novela sentimental,novela romántica
nh0088,no,MoranteP,Grandezas,1896,Argentina,first,heterodiegetic,novela social,novela naturalista
nh0089,no,DelgadoR,Angelina,1893,Mexico,modern,autodiegetic,novela sentimental,novela realista
nh0090,no,PaynoM,Bandidos,1892,Mexico,unknown,heterodiegetic,novela de costumbres,novela naturalista
nh0091,yes,CalcagnoF,DonEnriquito,1895,Cuba,first,heterodiegetic,novela histórica,unknown
nh0092,no,RiveraYRioJ,VirgenNiagara,1871,Mexico,first,heterodiegetic,novela sentimental,novela romántica
nh0093,no,EstradaS,Pampa,1866,Argentina,first,heterodiegetic,novela de costumbres,unknown
nh0094,no,MansoJP,MisteriosPlata,1868,Argentina,modern,heterodiegetic,novela histórica,novela romántica
nh0095,no,MansoJP,FamiliaComendador,1854,Argentina,unknown,heterodiegetic,novela social,novela romántica
nh0096,yes,MitreB,Soledad,1847,Argentina,first,heterodiegetic,novela sentimental,novela romántica
nh0097,yes,PazI,Corregidora,1887,Mexico,historical,heterodiegetic,novela histórica,novela romántica
nh0098,no,RosasdeRiveraM,MariaMontiel,1861,Argentina,modern,heterodiegetic,novela sentimental,novela romántica
nh0099,no,NajeraM,Cielo,1882,Mexico,unknown,heterodiegetic,novela sentimental,novela modernista
nh0100,no,PortilloA,MariaLuisa,1896,Mexico,first,heterodiegetic,novela histórica,unknown
nh0101,no,BarraE,MechaIturbe,1906,Argentina,first,heterodiegetic,novela de costumbres,unknown
nh0102,yes,VillaverdeC,DosAmores,1858,Cuba,first,heterodiegetic,novela sentimental,novela romántica
nh0103,no,ZamacoisN,MendigoSanAngel,1865,Mexico,first,heterodiegetic,novela histórica,unknown
nh0104,no,CastilloFM,HermanaAngeles,1854,Mexico,historical,heterodiegetic,novela sentimental,novela romántica
nh0105,no,PaynoM,HombreSituacion,1861,Mexico,first,heterodiegetic,novela de costumbres,novela romántica
nh0106,no,SierraOReillyJ,HijaJudio,1849,Mexico,modern,heterodiegetic,novela histórica,novela romántica
nh0107,no,ZamacoisN,Pompeya,1871,Mexico,first,heterodiegetic,novela histórica,unknown
nh0108,no,InclanLG,Astucia,1866,Mexico,modern,heterodiegetic,novela histórica,novela romántica
nh0109,no,MoruaDelgadoM,Sofia,1891,Cuba,first,heterodiegetic,novela social,novela naturalista
nh0110,yes,GorritiJM,Peregrinaciones,1876,Argentina,first,autodiegetic,novela de viajes,novela romántica
nh0111,no,MateosJA,Insurgentes,1869,Mexico,historical,heterodiegetic,novela histórica,novela romántica
