idno,enclitics,adjective,conjunction,determiner,noun,pronoun,adverb,adposition,verb,number,date,interjection,common,proper
nh0087,11,0,0,0,6,0,0,0,5,0,0,0,4,2
nh0088,139,18,0,0,67,0,0,0,54,0,0,0,34,33
nh0089,64,6,0,0,49,0,1,0,8,0,0,0,9,40
nh0090,65,6,0,0,53,0,0,0,6,0,0,0,11,42
nh0091,27,5,0,0,12,0,1,0,9,0,0,0,7,5
nh0092,12,0,0,0,7,0,0,0,5,0,0,0,5,2
nh0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nh0094,28,4,0,0,9,0,0,0,15,0,0,0,5,4
nh0095,15,1,0,0,7,0,0,0,7,0,0,0,3,4
nh0096,3,0,0,0,2,0,0,0,1,0,0,0,1,1
nh0097,17,0,0,0,12,0,0,0,5,0,0,0,4,8
nh0098,7,1,0,0,3,0,0,0,3,0,0,0,0,3
nh0099,22,7,0,0,14,0,0,0,1,0,0,0,7,7
nh0100,19,3,0,0,13,0,0,0,3,0,0,0,7,6
nh0101,731,188,0,0,275,0,11,0,257,0,0,0,168,107
nh0102,90,7,0,0,38,0,0,0,45,0,0,0,12,26
nh0103,45,7,0,0,30,0,0,0,8,0,0,0,12,18
nh0104,12,0,0,0,11,0,0,0,1,0,0,0,3,8
nh0105,17,0,0,0,13,0,0,0,4,0,0,0,6,7
nh0106,502,83,0,0,303,0,7,0,109,0,0,0,111,192
nh0107,32,6,0,0,22,0,0,0,4,0,0,0,8,14
nh0108,39,3,0,0,24,0,1,0,11,0,0,0,17,7
nh0109,276,43,0,0,156,0,2,0,75,0,0,0,82,74
nh0110,222,27,0,0,126,0,2,0,67,0,0,0,71,55
nh0111,271,17,0,0,226,0,2,0,26,0,0,0,34,192
nh0112,38,3,0,0,29,0,0,0,6,0,0,0,13,16
nh0113,164,9,0,0,94,0,0,0,61,0,0,0,56,38
nh0114,9,1,0,0,7,0,0,0,1,0,0,0,2,5
nh0115,387,50,0,0,222,0,2,0,113,0,0,0,58,164
nh0116,15,0,0,0,11,0,0,0,4,0,0,0,2,9
nh0117,78,2,0,0,57,0,0,0,19,0,0,0,13,44
nh0118,106,2,0,0,93,0,0,0,11,0,0,0,23,70
