,mean_fit_time,mean_score_time,mean_test_score,param_max_features,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,std_fit_time,std_score_time,std_test_score,subgenre_level,class1,class2,mfw,token_unit,normalization,repetition,num_topics,optimize_interval,topic_repetition
1,0.13907790184020996,0.008763813972473144,0.8705882352941176,log2,{'max_features': 'log2'},2,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.7058823529411765,0.8823529411764706,0.0007217385552113673,4.7431451368232294e-05,0.06335488008393533,subgenre-current,novela romántica,other,100.0,word,tfidf,8,,,
0,0.14874610900878907,0.008852338790893555,0.8764705882352942,sqrt,{'max_features': 'sqrt'},1,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.7647058823529411,1.0,0.8823529411764706,0.8823529411764706,0.001036927968214871,0.0002834226408100195,0.055494006659156506,subgenre-current,novela romántica,other,100.0,word,tfidf,9,,,
1,0.13913733959198,0.008838701248168945,0.8588235294117647,log2,{'max_features': 'log2'},2,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.5882352941176471,0.9411764705882353,0.8823529411764706,0.9411764705882353,0.0005579374990180462,0.0002504398008807895,0.09557692240748188,subgenre-current,novela romántica,other,100.0,word,tfidf,9,,,
0,0.14867703914642333,0.0087660551071167,0.8705882352941176,sqrt,{'max_features': 'sqrt'},2,0.7647058823529411,0.8235294117647058,0.9411764705882353,0.8235294117647058,1.0,0.8235294117647058,0.8823529411764706,0.9411764705882353,0.7647058823529411,0.9411764705882353,0.0007951758528474256,0.00018817263197658897,0.07803823036130354,subgenre-current,novela romántica,other,100.0,word,zscore,0,,,
1,0.13961527347564698,0.008814048767089844,0.8941176470588236,log2,{'max_features': 'log2'},1,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8823529411764706,1.0,0.9411764705882353,0.8235294117647058,0.9411764705882353,0.7647058823529411,1.0,0.0009602486172477895,9.871748835079827e-05,0.07347056468704,subgenre-current,novela romántica,other,100.0,word,zscore,0,,,
0,0.14847750663757325,0.008725833892822266,0.8941176470588236,sqrt,{'max_features': 'sqrt'},1,0.9411764705882353,0.8235294117647058,0.8235294117647058,0.9411764705882353,0.8823529411764706,1.0,0.8235294117647058,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.0005880110006579459,3.187002779784962e-05,0.05763505277136891,subgenre-current,novela romántica,other,100.0,word,zscore,1,,,
1,0.13922088146209716,0.008761358261108399,0.8647058823529413,log2,{'max_features': 'log2'},2,0.9411764705882353,0.8235294117647058,0.7058823529411765,0.9411764705882353,0.8823529411764706,0.9411764705882353,0.7058823529411765,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.0008888852041516442,5.1043830902149594e-05,0.08744746321952061,subgenre-current,novela romántica,other,100.0,word,zscore,1,,,
0,0.14964911937713624,0.008829474449157715,0.8823529411764707,sqrt,{'max_features': 'sqrt'},1,0.8235294117647058,0.9411764705882353,0.8235294117647058,0.9411764705882353,1.0,0.7647058823529411,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.7647058823529411,0.0009780116712411933,0.00022502213392827373,0.07892004626469848,subgenre-current,novela romántica,other,100.0,word,zscore,2,,,
1,0.13922536373138428,0.008762049674987792,0.8705882352941178,log2,{'max_features': 'log2'},2,0.8235294117647058,0.8823529411764706,0.7058823529411765,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.0006353493894038155,3.558081584132888e-05,0.07803823036130351,subgenre-current,novela romántica,other,100.0,word,zscore,2,,,
0,0.1492253541946411,0.0088120698928833,0.8588235294117647,sqrt,{'max_features': 'sqrt'},1,0.8823529411764706,0.7647058823529411,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8823529411764706,0.0006341072634383604,0.00016468975407135682,0.03901911518065177,subgenre-current,novela romántica,other,100.0,word,zscore,3,,,
