,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,num_topics,optimize_interval,data_repetition,topic_repetition
695,5,0.1425166130065918,0.01137542724609375,0.8235294117647058,0.823529411764706,0.7777777777777778,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,50,,9,1
696,6,0.14528775215148926,0.011144638061523438,0.7647058823529411,0.7142857142857143,0.8333333333333334,0.625,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,50,,9,1
697,7,0.14329910278320312,0.011348485946655273,0.9411764705882353,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,50,,9,1
698,8,0.14327263832092285,0.011133432388305664,0.7647058823529411,0.7777777777777777,0.7,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,50,,9,1
699,9,0.1435861587524414,0.011227607727050781,0.9411764705882353,0.9333333333333333,1.0,0.875,1.0,1.0,1.0,1.0,subgenre-current,novela romántica,other,50,,9,1
700,0,0.12889575958251953,0.011092424392700195,0.5714285714285714,0.6666666666666665,0.6,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,0,1
701,1,0.12952351570129395,0.011111736297607422,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,0,1
702,2,0.17374730110168457,0.01094818115234375,0.8571428571428571,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,0,1
703,3,0.12802433967590332,0.011068105697631836,0.8571428571428571,0.888888888888889,0.8,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,0,1
704,4,0.127976655960083,0.010982513427734375,0.5714285714285714,0.5714285714285715,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,0,1
705,5,0.13019585609436035,0.011044740676879883,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,0,1
706,6,0.12812399864196777,0.011091947555541992,0.8571428571428571,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,0,1
707,7,0.12852907180786133,0.010873079299926758,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,0,1
708,8,0.1280043125152588,0.010997295379638672,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,0,1
709,9,0.1273026466369629,0.010995626449584961,0.8571428571428571,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,0,1
710,0,0.12800025939941406,0.011016368865966797,0.7142857142857143,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,1,1
711,1,0.12818169593811035,0.010933399200439453,0.8571428571428571,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,1,1
712,2,0.12728500366210938,0.010928630828857422,0.5714285714285714,0.6666666666666665,0.6,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,1,1
713,3,0.12985682487487793,0.011044740676879883,0.7142857142857143,0.75,0.75,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,1,1
714,4,0.12734436988830566,0.011063337326049805,0.8571428571428571,0.8571428571428571,1.0,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,1,1
715,5,0.1276090145111084,0.011007070541381836,0.8571428571428571,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,1,1
716,6,0.12768959999084473,0.011054277420043945,0.8571428571428571,0.8571428571428571,0.75,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,1,1
717,7,0.12955474853515625,0.010980367660522461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,1,1
718,8,0.12779569625854492,0.011199951171875,0.5714285714285714,0.5714285714285715,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,1,1
719,9,0.1274547576904297,0.010911941528320312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,1,1
720,0,0.1306016445159912,0.01110982894897461,0.7142857142857143,0.75,0.75,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,2,1
721,1,0.12752962112426758,0.011020898818969727,0.7142857142857143,0.75,0.75,0.75,1.0,1.0,1.0,1.0,subgenre-current,novela realista,other,50,,2,1
