,call,fit_time,score_time,test_accuracy,test_f1,test_precision,test_recall,train_accuracy,train_f1,train_precision,train_recall,subgenre_level,class1,class2,num_topics,optimize_interval,data_repetition,topic_repetition
1710,0,0.14838314056396484,0.011472225189208984,0.7,0.7272727272727272,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,1,2
1711,1,0.1439967155456543,0.011557579040527344,0.6,0.5,0.6666666666666666,0.4,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,1,2
1712,2,0.14545035362243652,0.011227607727050781,0.9,0.9090909090909091,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,1,2
1713,3,0.14375686645507812,0.011352062225341797,0.5,0.5454545454545454,0.5,0.6,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,1,2
1714,4,0.14853596687316895,0.012130975723266602,0.6,0.5,0.6666666666666666,0.4,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,1,2
1715,5,0.15223050117492676,0.012023448944091797,0.8,0.8000000000000002,0.8,0.8,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,1,2
1716,6,0.15769743919372559,0.013530969619750977,0.7,0.7272727272727272,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,1,2
1717,7,0.15837574005126953,0.012367963790893555,0.8,0.8000000000000002,0.8,0.8,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,1,2
1718,8,0.1547865867614746,0.011586189270019531,0.7,0.7272727272727272,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,1,2
1719,9,0.1600933074951172,0.012769460678100586,0.8,0.8333333333333333,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,1,2
1720,0,0.14565539360046387,0.012207984924316406,0.8,0.8000000000000002,0.8,0.8,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,2,2
1721,1,0.14786529541015625,0.012351512908935547,0.7,0.6666666666666665,0.75,0.6,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,2,2
1722,2,0.15347957611083984,0.011573314666748047,0.6,0.5,0.6666666666666666,0.4,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,2,2
1723,3,0.17766070365905762,0.011756658554077148,0.6,0.6666666666666666,0.5714285714285714,0.8,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,2,2
1724,4,0.18904328346252441,0.012322664260864258,0.8,0.7499999999999999,1.0,0.6,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,2,2
1725,5,0.14977216720581055,0.012621164321899414,0.8,0.8000000000000002,0.8,0.8,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,2,2
1726,6,0.15438103675842285,0.01165318489074707,0.9,0.9090909090909091,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,2,2
1727,7,0.15026068687438965,0.012946605682373047,0.7,0.6666666666666665,0.75,0.6,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,2,2
1728,8,0.15360403060913086,0.012755870819091797,0.5,0.5454545454545454,0.5,0.6,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,2,2
1729,9,0.15235137939453125,0.013548135757446289,0.8,0.8333333333333333,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,2,2
1730,0,0.15849709510803223,0.012025117874145508,0.8,0.8000000000000002,0.8,0.8,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,3,2
1731,1,0.15935301780700684,0.011609077453613281,0.7,0.6666666666666665,0.75,0.6,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,3,2
1732,2,0.16032695770263672,0.013746261596679688,0.8,0.8000000000000002,0.8,0.8,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,3,2
1733,3,0.15533113479614258,0.011450767517089844,0.6,0.6666666666666666,0.5714285714285714,0.8,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,3,2
1734,4,0.1580824851989746,0.01531076431274414,0.8,0.7499999999999999,1.0,0.6,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,3,2
1735,5,0.15438365936279297,0.011565446853637695,0.8,0.8000000000000002,0.8,0.8,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,3,2
1736,6,0.15590620040893555,0.012182950973510742,0.8,0.8000000000000002,0.8,0.8,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,3,2
1737,7,0.15555405616760254,0.012595415115356445,0.8,0.8000000000000002,0.8,0.8,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,3,2
1738,8,0.1584482192993164,0.013268232345581055,0.6,0.6,0.6,0.6,1.0,1.0,1.0,1.0,subgenre-theme,novela sentimental,novela de costumbres,90,250,3,2
