author-name,work-title,work-type,bibacme-work-id,cligs-idno,num-pages,num-words
"Ochagavia, Margarita Rufina","Un ángel y un demonio, o el valor de un juramento",novela,W558,nh0250,-,23494
"Castillo, Florencio María del","Hermana de los ángeles",novela corta,W1103,nh0104,-,29672
"Zayas Enríquez, Rafael de","El teniente de los gavilanes",novela corta,W32,nh0210,-,62052
"Roa Bárcena, José María","La quinta modelo",novela corta,W284,nh0244,-,31596
"Alcorta, Amancio","Espinas de amor",novela,W8,-,112,21392
"Anónimo","El niño expósito",novela,W14,-,175,33425
"Arauz, Toribio","Aurora y Enrique, o sea La Guerra Civil",novela,W15,-,62,11842
"Astort, Antonio","El despotismo del oro",novela,W18,-,224,42784
"Zamacois, Niceto de","El Capítan Rossi",novela,W23,-,1346,257086
"Zayas Enríquez, Rafael de","Remordimiento",novela,W30,-,123,23493
"Zayas Enríquez, Rafael de","Oceánica",novela,W31,-,236,45076
"Zayas Enríquez, Rafael de","El teniente de los gavilanes",novela,W32,-,341,65131
"Zayas Guarneros, Pablo","Escenas populares",novela,W35,-,832,158912
"Villaverde, Cirilo","Teresa",novela,W44,-,93,17763
"Villaverde, Cirilo","El penitente",novela,W46,-,142,27122
"Villaverde, Cirilo","Comunidad de nombres y apellidos",novela,W47,-,63,12033
"Vinageras, Antonio","Enriqueta",novela,W53,-,247,47177
"Bahamonde, Manuel","Borrascas",novela,W57,-,346,66086
"Bahamonde, Manuel","Mareos",novela,W59,-,225,42975
"Barbará, Federico","El prisionero de Santos Lugares",novela,W61,-,192,36672
"Barra, Federico de la","La presidencia",novela,W65,-,116,22156
"Blanco, C. M.","Salvaje",novela,W77,-,159,30369
"Blanlot, Anselmo","¡Revolución!",novela,W78,-,436,83276
"Bunge, Carlos Octavio","Xarcas silenciario",novela,W84,-,251,47941
"Valle, Guillermo del","El Castillo de Lunel",novela,W90,-,64,12224
"Valle, Guillermo del","El Millón de Libras Esterlinas",novela,W91,-,128,24448
"Valle, Guillermo del","Los Imperiales",novela,W92,-,263,50233
"Valle de Santiesteban, J.","Los amantes de Udalla",novela,W95,-,230,43930
"Vázquez, Andrés Clemente","Enriqueta Fáber",novela,W97,-,261,49851
"Vélez, Ismael","Pancho Pérez",novela,W98,-,134,25594
"Vigil y Robles, José","El dinero",novela,W100,-,718,137138
"Villaseñor y Villaseñor, Alejandro","Memorias de un estudiante",novela,W107,-,478,91298
"Carballido, Pastor M.","Días sombríos",novela,W131,-,32,6112
"Castilla Aguilar, A.","Hogar sin fuego",novela,W132,-,88,16808
"Chiappori, Atilio Manuel","La eterna angustia",novela,W141,-,213,40683
"Ulloa, Ambrosio","Una auto-novela tapatía",novela,W146,-,206,39346
"Un Michoacano","Un bálsamo del dolor",novela,W147,-,164,31324
"Tovar, Pantaleón","La hora de Dios",novela,W150,-,260,49660
"Sánchez Arce, Abraham","¡Grito de independencia!",novela,W157,-,124,23684
"Sánchez Arce, Abraham","El ladrón de la casa de cambio",novela,W158,-,124,23684
"Sánchez Arce, Abraham","Misterios de un consultorio",novela,W159,-,124,23684
"Sánchez Arce, Abraham","Peregrinación de Juárez",novela,W161,-,124,23684
"Silva, Agapito","Clemencia",novela,W187,-,84,16044
"Sustaita, Alberto","Las Bolado",novela,W202,-,155,29605
"Sustaita, Alberto","El crimen del Pullman",novela,W203,-,155,29605
"Sustaita, Alberto","Mutilado",novela,W205,-,142,27122
"Daireaux, Godofredo","Las dos patrias",novela,W212,-,315,60165
"Díaz Olazábal, Rodolfo","El cadete del año 13",novela,W218,-,130,24830
"Ramírez, José María","Celeste",novela,W228,-,132,25212
"Ramírez, José María","Ellas y nosotros",novela,W229,-,212,40492
"Ramírez, José María","Gabriela",novela,W230,-,133,25403
"Ramírez, José María","Avelina",novela,W231,-,155,29605
"Ramírez, José María","Una rosa y un harapo",novela,W233,-,438,83658
"Ramírez Aparicio, Manuel","Agustín o la cura de almas",novela,W234,-,103,19673
"Olavarría y Ferrari, Enrique","La derrota de las Cruces",novela,W235,-,101,19291
"Olavarría y Ferrari, Enrique","La Virgen de los Remedios",novela,W236,-,107,20437
"Olavarría y Ferrari, Enrique","Las perlas de la reina Luisa",novela,W237,-,112,21392
"Olavarría y Ferrari, Enrique","El puente de Calderón",novela,W238,-,107,20437
"Olavarría y Ferrari, Enrique","Las norias de Baján",novela,W243,-,113,21583
"Olavarría y Ferrari, Enrique","La Virgen de Guadalupe",novela,W244,-,99,18909
"Olavarría y Ferrari, Enrique","La junta de Zitácuaro",novela,W245,-,103,19673
"Olavarría y Ferrari, Enrique","El treinta de julio",novela,W246,-,116,22156
"Olavarría y Ferrari, Enrique","El cura de Nucupétaro",novela,W250,-,111,21201
"Rey, Emilio","¡Amor de ángel!",novela,W260,-,65,12415
"Ríos, Juan Pablo de los","El oficial mayor",novela,W261,-,356,67996
"Riva Palacio, Vicente","Los piratas del golfo",novela,W264,-,608,116128
"Riva Palacio, Vicente","Las dos emparedadas",novela,W265,-,720,137520
"Riva Palacio, Vicente","Memorias de un impostor",novela,W266,-,598,114218
"Rivera y Río, José","Fatalidad y Providencia",novela,W270,-,805,153755
"Rivera y Río, José","Mártires y Verdugos",novela,W271,-,243,46413
"Rivera y Río, José","Las Tres Aventureras",novela,W272,-,806,153946
"Rivera y Río, José","El Hambre y el Oro",novela,W274,-,511,97601
"Rivera y Río, José","Esqueletos sociales",novela,W275,-,383,73153
"Rivera y Río, José","Memorias de Unos Náufragos",novela,W277,-,635,121285
"Rodríguez, Manuel Filomeno","Los asesinos del Dongo",novela,W287,-,839,160249
"Rodríguez Beltrán, Cayetano","Pajarito",novela,W288,-,796,152036
"Rodríguez Iglesia, Emilio","El crimen de los Tepames",novela,W296,-,142,27122
"Rojas, Francisco M.","Fray Sotana",novela,W297,-,183,34953
"Rojo García, Emilio","Jovita",novela,W300,-,128,24448
"Roldán, Eutimio","Querida del tío Toño",novela,W302,-,136,25976
"Roldán, Eutimio","Quetzal y Metztlixochitl",novela,W303,-,71,13561
"Roldán, Eutimio","Rosaura Muñoz",novela,W304,-,187,35717
"Ruanova, Francisco de pp.","El reformador de México",novela,W306,-,1593,304263
"Ruiz Álvarez, Eduardo","Historia de la Guerra de Intervención en Michoacán ",novela,W307,-,734,140194
"Quiroz, Bernhardino de Jesús","Siempre el bien y la virtud",novela,W309,-,36,6876
"Cartey, Guido Anatolio","Libertad",novela,W316,-,158,30178
"Fernández, E. G.","Hace un siglo",novela,W322,-,490,93590
"Teurbe Tolón y de la Guardia, Miguel","Lola Guara",novela,W328,-,69,13179
"Puig y de la Puente, Francisco","Lágrimas de un ángel",novela,W342,-,62,11842
"Puig y de la Puente, Francisco","Narciso López en Cárdenas",novela,W348,-,80,15280
"Piña y Blanco, Ramón","Historia de un bribón dichoso",novela,W362,-,402,76782
"Puig y Cárdenas, Félix","La Bella Loca",novela,W363,-,41,7831
"Puig y Cárdenas, Félix","Leoncia de Nancis",novela,W366,-,169,32279
"García Velloso, Enrique","Neurosis sentimental",novela,W380,-,110,21010
"Ghuiraldo, Alberto","La tiranía del frac",novela,W384,-,143,27313
"Gicca, Francisco","Ellas",novela,W387,-,224,42784
"Giraldes, Tomás N.","Vengador y suicida",novela,W388,-,104,19864
"Gómez, Eusebio F.","Angélica o una víctima de sus amores",novela,W389,-,72,13752
"Guillo, Francisco","La bandera del héroe",novela,W414,-,159,30369
"Guillo, Francisco","El combate de San Lorenzo",novela,W415,-,186,35526
"Guillo, Francisco","Conventillo de intelectuales",novela,W416,-,187,35717
"Guillo, Francisco","La corte de don Juan Manuel de Rosas",novela,W417,-,189,36099
"Guillo, Francisco","Dantón y los federales",novela,W418,-,186,35526
"Guillo, Francisco","La tragedia de Santos Lugares",novela,W419,-,200,38200
"Guillo, Francisco","Vidalita",novela,W420,-,189,36099
"Guindilla","Dos niñas hechiceras",novela,W421,-,18,3438
"Lannot, León","Paola, la hija del misionero",novela,W476,-,143,27313
"Larrain, Nicanor","El alma de Jesús Pérez, o la justicia del terror ",novela,W480,-,42,8022
"Larrosa de Ansaldo, Lola","¡Hija mía!",novela,W484,-,169,32279
"Loiseau, Ernesto O.","Hojas de mirto",novela,W490,-,105,20055
"López Torres, Francisco","La huérfana de Pago Largo",novela,W496,-,114,21774
"Marqués, Teodoro Y.","La tragedia de la vida",novela,W526,-,97,18527
"Martínez Zuviría, Gustavo","Pequeñas grandes almas",novela,W530,-,360,68760
"Nieves, Manuel María","Los mártires de Buenos Aires, o el tirano Juan Manuel Rosas ",novela,W543,-,568,108488
"Olascoaga, Manuel J.","El sargento Claro, o la guerra de Chile",novela,W560,-,249,47559
"Ortega, Enrique","Los casamientos del diablo",novela,W563,-,285,54435
"Ortega, Enrique","Justos y pecadores",novela,W566,-,274,52334
"Ortega, Enrique","Una hora menguada",novela,W567,-,269,51379
"Otamendi, Roque C.","El canto del cisne",novela,W568,-,313,59783
"Oteyza Bustamante, José","Un acontecimiento en Tucumán",novela,W569,-,25,4775
"Palacio, Manuel A. de","Los hijos de los porteros",novela,W572,-,162,30942
"Palacios, Florencio de","La púrpura de mi sangre",novela,W573,-,93,17763
"Palma y Palma, Eulogio","La hija de Tutul Xiu",novela,W575,-,462,88242
"Palma y Palma, Eulogio","Aventuras de un derrotado",novela,W576,-,136,25976
"Palomo, Francisco de Paula","Luisa o San Luis Potosí desde 1858 hasta 1860 ",novela,W577,-,352,67232
"Palomo, Francisco de Paula","Trabajos de Hércules",novela,W578,-,292,55772
"Paniagua, Flavio Antonio","Lágrimas del corazón",novela,W579,-,512,97792
"Pardo, Leonardo R.","La cárcel por dentro o secretos del antro ",novela,W584,-,128,24448
"Pastor, J. Miguel","Miseria y opulencia",novela,W586,-,334,63794
"Paz, Arturo","Consecuencias",novela,W607,-,74,14134
"Paz, Arturo","Perjura",novela,W612,-,208,39728
"Paz, Ireneo","Amor y Suplicio",novela,W614,-,609,116319
"Paz, Ireneo","Guadalupe",novela,W616,-,164,31324
"Peña y Troncoso, Gonzalo","Blanca, hija de la luz",novela,W631,-,351,67041
"Pérez, Gregorio","El ahorcado de 1848",novela,W637,-,95,18145
"Pinares, Lucio","De sangre azul",novela,W643,-,216,41256
"Pizarro, Nicolás","El monedero",novela,W644,-,627,119757
"Portillo, Miguel","El alma en pena",novela,W651,-,29,5539
"Portillo, Miguel","Batallas de amor",novela,W653,-,255,48705
"Olaguíbel, Francisco M. de","¡Pobre bebé!",novela,W655,-,96,18336
"Ortiz, Fernando","El caballero encantado y la moza esquiva ",novela,W665,-,268,51188
"Millán, José Agustín","Memorias de una viuda",novela,W703,-,198,37818
"Negrete, José","La niña mártir",novela,W710,-,129,24639
"Negrete, José","La mujer verdugo",novela,W711,-,139,26549
"Gante, Carlos de Peña, Ignacio A. de la Frausto, Ramón Jácome, Luis E. Correa, Agustín Torremocha, Ricardo pp. Villaseñor, Manuel E. Bermejo, Manuel M.","Nox mentis",novela,W719,-,52,9932
"Maldonado, Alfonso M.","Obras del Licenciado Alfonso M. Maldonado ",novela,W730,-,684,130644
"Maldonado, Alfonso M.","Julián",novela,W733,-,63,12033
"Martínez de Castro, Manuel","Julia",novela,W735,-,860,164260
"Mateos, Juan Antonio","Sor Angélica",novela,W747,-,316,60356
"Mateos, Juan Antonio","Los dramas de México",novela,W748,-,589,112499
"Mateos, Juan Antonio","Memorias de un guerrillero",novela,W749,-,507,96837
"Mateos, Juan Antonio","Las olas altas",novela,W750,-,285,54435
"Mateos, Juan Antonio","La baja marea",novela,W751,-,299,57109
"Mateos, Juan Antonio","El vendedor de periódicos",novela,W752,-,294,56154
"Mateos, Juan Antonio","Las olas muertas",novela,W753,-,314,59974
"Mateos, Juan Antonio","Sangre de niños",novela,W754,-,134,25594
"Mateos, Juan Antonio","Sepulcros blanqueados",novela,W755,-,320,61120
"Mejía, Demetrio","Entre el amor y la patria",novela,W757,-,552,105432
"Merino, Manuel","Juana Santa Anna",novela,W764,-,242,46222
"Merino, Manuel","Ruta",novela,W765,-,235,44885
"Morales, Vicente","Gentes de historia",novela,W769,-,321,61311
"Morales, Vicente","El escéptico",novela,W772,-,427,81557
"Moreno, Antonio de pp.","Un corazón en un libro",novela,W774,-,111,21201
"Moreno, Antonio de pp.","Ecos de ultratumba o epílogo de un drama ",novela,W775,-,44,8404
"Larráinzar, Enriqueta Larráinzar, Ernestina","Misterios del corazón",novela,W782,-,288,55008
"Larráinzar, Enriqueta Larráinzar, Ernestina","¡Sonrisas y lágrimas!",novela,W783,-,600,114600
"Leduc, Alberto","Un calvario",novela,W785,-,68,12988
"Leduc, Alberto","María del Consuelo",novela,W786,-,39,7449
"Lombardo, Alberto","Hidalgo",novela,W787,-,175,33425
"Lombardo, Alberto","Morelos",novela,W788,-,274,52334
"Lozada, Enrique","Celeste",novela,W817,-,369,70479
"Llanas, Pedro L.","Caridad y recompensa",novela,W818,-,272,51952
"Jens, Federico Carlos","De la muerte a la vida",novela,W819,-,24,4584
"Gallardo, Aurelio Luis","Adah o el amor de un ángel",novela,W833,-,294,56154
"García González, Francisco","Belén por dentro",novela,W848,-,266,50806
"González Peña, Carlos","De noche",novela,W858,-,228,43548
"González Peña, Carlos","La chiquilla",novela,W859,-,394,75254
"González Peña, Carlos","La musa bohemia",novela,W860,-,286,54626
"Goyc, Juan","Vicio heroico y virtud criminal",novela,W861,-,232,44312
"Gutiérrez de Lara, Lázaro","Los bribones",novela,W863,-,207,39537
"Fernández Serrano, Tomás","El robo al banco minero",novela,W870,-,191,36481
"Flores Villar, Mariano","La línea curva",novela,W874,-,174,33234
"Flores Villar, Mariano","La conquista de un dogal",novela,W875,-,135,25785
"Flores Villar, Mariano","Electra",novela,W876,-,270,51570
"Frías y Soto, Hilarión","Vulcano",novela,W881,-,55,10505
"Fuentes, Julio","Estella",novela,W882,-,135,25785
"Paz, Carlos Luis","¡Santa y mártir de veinte años!",novela,W892,-,46,8786
"Pearson, Isaac R.","El triunfo del siglo",novela,W895,-,356,67996
"Pelliza de Sagasta, Josefina","La chiriguana",novela,W897,-,29,5539
"Pérez y Pérez, Manuel","El gobierno Rodriguista",novela,W900,-,360,68760
"Pérez y Pérez, Manuel","La Revolución Malezalera",novela,W901,-,354,67614
"Quiroga, Guillermo","Una sanjuanina, o sea Carolina",novela,W906,-,18,3438
"Rivero, Amaranto T.","Guantes blancos y conciencias negras",novela,W913,-,95,18145
"Iglesia, Álvaro de la","Una boda sangrienta; o, El fantasma de San Lázaro ",novela,W927,-,432,82512
"Iglesia, Álvaro de la","La bruja de Atarés; o, Los bandidos de La Habana ",novela,W929,-,171,32661
"Gómez de Avellaneda, Gertrudis","La baronesa de Joux",novela,W938,-,424,80984
"González del Valle, José Zacarías","Luisa",novela,W949,-,100,19100
"Guerrero Pallarés, Teodoro","El escabel de la fortuna",novela,W977,-,275,52525
"Calcagno, Francisco","El emisario",novela,W990,-,131,25021
"Carrión, Miguel de","El milagro",novela,W999,-,385,73535
"Castellanos, Jesús","Una heroina",novela,W1002,-,84,16044
"Castellanos, Jesús","Cabeza de familia",novela,W1003,-,35,6685
"Balmaseda, Francisco Javier","Los ebrios; o, La familia de Juan Candaya ",novela,W1012,-,255,48705
"Balmaseda, Francisco Javier","Clementina",novela,W1013,-,401,76591
"Aramburu, Joaquín N.","Un detallista feliz",novela,W1029,-,196,37436
"Armas y Céspedes, José de","Frasquito",novela,W1030,-,377,72007
"Auber de Noya, Virginia Felicia","Úrsula",novela,W1038,-,259,49469
"Auber de Noya, Virginia Felicia","Otros tiempos",novela,W1042,-,305,58255
"Echáiz, Jesús","La envenenadora",novela,W1049,-,616,117656
